,Unnamed: 0,Dwelling Type,Zone Classification,Linear Feet of Street,Plot Size,Type of Road,Type of Alley,Shape of Property,Flatness of Property,Types of Utilities Available,Plot Configuration,Slope of Property,Locations within Ames City limits,Proximity to Various Conditions,Overall Material Finish of House,Overall Condition,Original Construction Date,Remodel Date of Property,Type of Roof,Roof Material,Exterior Covering on House,Masonry veneer type,Masonry veneer area,Exterior Quality of the Material,Present Exterior condition of the Material,Type of Foundation,Height of the basement,General condition of Basement,Walkout or garden-level walls,Basement Finished area rating,Total basement area in square foot,Type of heating,Heating Quality and Condition,Central Air Conditioning,Electrical system,Total living area in square feet,Bedrooms(Excluded Basement Bedrooms),Kitchens,Kitchen Quality,Total Rooms(excluding bathrooms),Home functionality,Fireplaces,Fireplace Quality,Garage location,The Year of Garage Built,Interior finish of the garage,Capacity of cars in Garage,Size of garage in square feet,Garage quality,Garage condition,Paved driveway,Fence quality,Month sold,Year Sold,Type of sale,Condition of sale,Sale Price,TotalBathrooms,Total porch area in square feet,Age of property,Price per square foot of property
197,197,2-1/2 STORY ALL AGES,Residential Low-Density,174,25419,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Corner Plot,Gentle Slope,North Ames,Adjacent to arterial streetNormal,Very Good,Below Average,1918,1990,Gable,Standard (Composite) Shingle,StuccoStucco,NA,0,Good,Good,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Good Living QuartersLow Quality,1360,Gas forced warm air furnace,Good,Yes,Standard Circuit Breakers & Romex,3112,4,1,Good,8,Typical Functionality,1,Excellent - Exceptional Masonry Fireplace,Detached from home,1918,Unfinished,2,795,Typical/Average,Typical/Average,Paved,Good Privacy,Mar,2006,Warranty Deed - Conventional,"Abnormal Sale -  trade, foreclosure, short sale",235000,3.5,568,88,9.245052913175185
199,199,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,76,9591,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Northridge Heights,NormalNormal,Very Good,Average,2004,2005,Hip,Standard (Composite) Shingle,Vinyl SidingVinyl Siding,Brick Face,262,Good,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,Average Exposure,Good Living QuartersUnfinished,1713,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1713,3,1,Excellent,7,Typical Functionality,1,Good - Masonry Fireplace on the main level,Attached to the home,2004,Finished,3,856,Typical/Average,Typical/Average,Paved,No Fence,Jan,2009,Warranty Deed - Conventional,Normal Sale,274900,3.0,196,5,28.662287561255344
200,200,1-STORY 1946 & NEWER ALL STYLES,Residential Medium,80,8546,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Corner Plot,Gentle Slope,Edwards,NormalNormal,Below Average,Average,2003,2004,Gable,Standard (Composite) Shingle,Vinyl SidingVinyl Siding,NA,0,Average/Typical,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,UnfinishedUnfinished,1121,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1121,2,1,Average/Typical,5,Typical Functionality,0,No Fireplace,Attached to the home,2003,Rough Finished,2,440,Typical/Average,Typical/Average,Paved,No Fence,Mar,2010,Warranty Deed - Conventional,Normal Sale,140000,2.0,196,7,16.381933068102036
201,201,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,75,10125,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Mitchell,NormalNormal,Above Average,Above Average,1977,1977,Gable,Standard (Composite) Shingle,PlywoodPlywood,NA,0,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Average Living QuartersLow Quality,1196,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,1279,3,1,Average/Typical,6,Typical Functionality,2,Fair - Prefabricated Fireplace in the basement,Detached from home,1980,Unfinished,2,473,Typical/Average,Typical/Average,Paved,Minimum Privacy,Feb,2008,Warranty Deed - Conventional,Normal Sale,171500,2.5,321,31,16.938271604938272
202,202,1-1/2 STORY FINISHED ALL AGES,Residential Low-Density,50,7000,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Corner Plot,Gentle Slope,Old Town,Adjacent to arterial streetNormal,Above Average,Above Average,1924,1950,Gable,Standard (Composite) Shingle,Metal SidingMetal Siding,NA,0,Average/Typical,Good,Brick & Tile,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Low QualityUnfinished,617,Gas forced warm air furnace,Good,Yes,Standard Circuit Breakers & Romex,1310,2,1,Average/Typical,6,Minor Deductions 1,0,No Fireplace,Attached to the home,1924,Unfinished,1,398,Typical/Average,Typical/Average,Paved,No Fence,May,2006,Court Officer Deed/Estate,Normal Sale,112000,2.0,126,82,16.0
203,203,1-STORY PUD (Planned Unit Development) - 1946 & NEWER,Residential Medium,0,4438,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,College Creek,NormalNormal,Above Average,Average,2004,2004,Gable,Standard (Composite) Shingle,Vinyl SidingVinyl Siding,Brick Face,205,Good,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,Average Exposure,Good Living QuartersUnfinished,848,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,848,1,1,Good,3,Typical Functionality,1,Good - Masonry Fireplace on the main level,Attached to the home,2004,Rough Finished,2,420,Typical/Average,Typical/Average,Paved,No Fence,Jan,2008,Warranty Deed - Conventional,Normal Sale,149000,2.0,149,4,33.57368183866607
204,204,1-1/2 STORY FINISHED ALL AGES,Residential Medium,50,3500,Paved,Gravel,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Old Town,NormalNormal,Average,Good,1947,1950,Gable,Standard (Composite) Shingle,Asbestos ShinglesAsbestos Shingles,NA,0,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Low QualityUnfinished,720,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,1284,2,1,Average/Typical,5,Typical Functionality,0,No Fireplace,Detached from home,1948,Unfinished,1,240,Typical/Average,Typical/Average,Paved,Minimum Wood/Wire,Apr,2009,Warranty Deed - Conventional,Normal Sale,110000,1.5,35,62,31.428571428571427
205,205,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,99,11851,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Corner Plot,Gentle Slope,Gilbert,NormalNormal,Good,Average,1990,1990,Gable,Standard (Composite) Shingle,Hard BoardHard Board,NA,0,Average/Typical,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,UnfinishedUnfinished,1424,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1442,3,1,Average/Typical,5,Typical Functionality,0,No Fireplace,Attached to the home,1990,Rough Finished,2,500,Typical/Average,Typical/Average,Paved,No Fence,May,2009,Warranty Deed - Conventional,Normal Sale,180500,2.0,542,19,15.23078221247152
206,206,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,40,13673,Paved,No Alley Access,Slightly Irregular,Near Flat Level,All Public Utilities,Cul-De-Sac,Gentle Slope,Sawyer,Adjacent to East-West RailroadNormal,Average,Average,1962,1962,Gable,Standard (Composite) Shingle,Hard BoardHard Board,NA,0,Average/Typical,Good,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,UnfinishedUnfinished,1140,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,1696,3,1,Average/Typical,8,Minor Deductions 2,1,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,1962,Rough Finished,1,349,Typical/Average,Typical/Average,Paved,No Fence,Mar,2007,Warranty Deed - Conventional,Normal Sale,143900,1.5,30,45,10.52439113581511
207,207,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,0,12493,Paved,No Alley Access,Slightly Irregular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,North Ames,NormalNormal,Below Average,Average,1960,1960,Gable,Standard (Composite) Shingle,Wood SidingWood Siding,NA,0,Average/Typical,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Average Living QuartersAverage Rec Room,1100,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,1100,3,1,Average/Typical,6,Typical Functionality,1,Poor - Ben Franklin Stove,Attached to the home,1960,Rough Finished,1,312,Typical/Average,Typical/Average,Paved,Good Wood,Apr,2008,Warranty Deed - Conventional,Normal Sale,141000,2.0,355,48,11.286320339390059
208,208,2-STORY 1946 & NEWER,Residential Low-Density,0,14364,Paved,No Alley Access,Slightly Irregular,Depression,All Public Utilities,Inside Plot,Moderate Slope,Sawyer West,NormalNormal,Good,Average,1988,1989,Gable,Standard (Composite) Shingle,PlywoodPlywood,Brick Face,128,Good,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,Good Exposure,Good Living QuartersUnfinished,1157,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,2062,3,1,Average/Typical,7,Typical Functionality,1,Good - Masonry Fireplace on the main level,Attached to the home,1988,Finished,2,454,Typical/Average,Typical/Average,Paved,No Fence,Apr,2007,Warranty Deed - Conventional,Normal Sale,277000,3.5,269,19,19.284321915900865
209,209,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,75,8250,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,North Ames,NormalNormal,Above Average,Good,1964,1964,Hip,Standard (Composite) Shingle,Hard BoardHard Board,Stone,260,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Average Rec RoomUnfinished,1092,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1092,3,1,Average/Typical,6,Typical Functionality,0,No Fireplace,Attached to the home,1964,Rough Finished,2,504,Typical/Average,Good,Paved,Minimum Privacy,Jul,2008,Warranty Deed - Conventional,Normal Sale,145000,2.0,0,44,17.575757575757574
211,211,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,83,10420,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Corner Plot,Gentle Slope,Edwards,NormalNormal,Above Average,Average,2009,2009,Gable,Standard (Composite) Shingle,Vinyl SidingVinyl Siding,NA,0,Average/Typical,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,Mimimum Exposure,Good Living QuartersUnfinished,1212,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1212,3,1,Good,6,Typical Functionality,0,No Fireplace,Attached to the home,2009,Rough Finished,2,460,Typical/Average,Typical/Average,Paved,No Fence,Mar,2010,Warranty Deed - Conventional,Normal Sale,186000,2.0,122,1,17.850287907869482
212,212,2-STORY 1946 & NEWER,Floating Village Residential,72,8640,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Somerset,NormalNormal,Good,Average,2009,2009,Gable,Standard (Composite) Shingle,Vinyl SidingVinyl Siding,NA,0,Average/Typical,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Good Living QuartersUnfinished,900,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1852,3,1,Good,7,Typical Functionality,1,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,2009,Rough Finished,2,644,Typical/Average,Typical/Average,Paved,No Fence,Jul,2009,Home just constructed and sold,Home was not completed when last assessed,252678,3.5,276,0,29.24513888888889
213,213,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,43,13568,Paved,No Alley Access,Moderately Irregular,Near Flat Level,All Public Utilities,Cul-De-Sac,Gentle Slope,College Creek,NormalNormal,Average,Average,1995,1995,Gable,Standard (Composite) Shingle,Vinyl SidingVinyl Siding,NA,0,Average/Typical,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Average Living QuartersUnfinished,990,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,990,3,1,Average/Typical,5,Typical Functionality,0,No Fireplace,Attached to the home,1996,Unfinished,2,576,Typical/Average,Typical/Average,Paved,No Fence,Jul,2006,Warranty Deed - Conventional,Normal Sale,156000,1.5,224,11,11.497641509433961
214,214,2-STORY 1946 & NEWER,Residential Low-Density,0,10900,Paved,No Alley Access,Slightly Irregular,Near Flat Level,All Public Utilities,Frontage on 2 sides of the property,Gentle Slope,College Creek,NormalNormal,Above Average,Good,1977,1977,Gable,Standard (Composite) Shingle,Hard BoardHard Board,Brick Face,153,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Good Living QuartersUnfinished,689,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1392,3,1,Average/Typical,6,Typical Functionality,0,No Fireplace,Attached to the home,1977,Finished,1,299,Typical/Average,Typical/Average,Paved,Minimum Privacy,Mar,2010,Warranty Deed - Conventional,Normal Sale,161750,1.5,36,33,14.839449541284404
215,215,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,72,10011,Paved,No Alley Access,Slightly Irregular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,North Ames,NormalNormal,Average,Above Average,1957,1996,Gable,Standard (Composite) Shingle,Hard BoardHard Board,Brick Face,64,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Below Average Living QuartersUnfinished,1070,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,1236,2,1,Good,6,Minor Deductions 1,1,Fair - Prefabricated Fireplace in the basement,Attached to the home,1957,Unfinished,1,447,Typical/Average,Typical/Average,Paved,Minimum Privacy,May,2006,Warranty Deed - Conventional,Normal Sale,134450,1.5,0,49,13.430226750574368
216,216,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,65,8450,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,College Creek,NormalNormal,Good,Average,2004,2004,Gable,Standard (Composite) Shingle,Vinyl SidingVinyl Siding,Brick Face,266,Good,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,Mimimum Exposure,Good Living QuartersUnfinished,1436,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1436,3,1,Good,8,Typical Functionality,0,No Fireplace,Attached to the home,2004,Unfinished,2,484,Typical/Average,Typical/Average,Paved,No Fence,Apr,2008,Warranty Deed - Conventional,Normal Sale,210000,3.0,237,4,24.85207100591716
217,217,2-STORY 1945 & OLDER,Residential Medium,57,9906,Paved,Gravel,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Old Town,NormalNormal,Below Average,Below Average,1925,1950,Gable,Standard (Composite) Shingle,Metal SidingMetal Siding,NA,0,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,UnfinishedUnfinished,686,Gas forced warm air furnace,Fair,No,Standard Circuit Breakers & Romex,1328,3,1,Average/Typical,8,Typical Functionality,0,No Fireplace,Detached from home,1940,Unfinished,1,210,Typical/Average,Typical/Average,Paved,No Fence,Sep,2006,Warranty Deed - Conventional,Sale between family members,107000,1.0,232,81,10.801534423581668
218,218,1-1/2 STORY FINISHED ALL AGES,Residential Low-Density,0,15660,Paved,No Alley Access,Slightly Irregular,Near Flat Level,All Public Utilities,Corner Plot,Gentle Slope,Crawford,NormalNormal,Good,Excellent,1939,2006,Gable,Standard (Composite) Shingle,Vinyl SidingVinyl Siding,Brick Face,312,Good,Good,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Below Average Living QuartersUnfinished,798,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1954,3,1,Good,8,Typical Functionality,2,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,1939,Unfinished,2,431,Typical/Average,Typical/Average,Paved,No Fence,May,2008,Warranty Deed - Conventional,Normal Sale,311500,2.0,269,69,19.891443167305237
219,219,1-STORY PUD (Planned Unit Development) - 1946 & NEWER,Residential Low-Density,43,3010,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Bloomington Heights,NormalNormal,Good,Average,2005,2006,Gable,Standard (Composite) Shingle,Vinyl SidingVinyl Siding,Brick Face,16,Good,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,Average Exposure,Good Living QuartersUnfinished,1248,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1248,2,1,Good,5,Typical Functionality,0,No Fireplace,Attached to the home,2005,Finished,2,438,Typical/Average,Typical/Average,Paved,No Fence,Mar,2006,Home just constructed and sold,Home was not completed when last assessed,167240,2.0,108,1,55.561461794019934
220,220,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,73,8990,Paved,No Alley Access,Slightly Irregular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,College Creek,NormalNormal,Good,Average,2006,2006,Gable,Standard (Composite) Shingle,Vinyl SidingVinyl Siding,NA,0,Good,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,Mimimum Exposure,UnfinishedUnfinished,1498,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1498,2,1,Good,5,Typical Functionality,0,No Fireplace,Attached to the home,2006,Rough Finished,2,675,Typical/Average,Typical/Average,Paved,No Fence,Apr,2006,Home just constructed and sold,Home was not completed when last assessed,204900,2.0,384,0,22.79199110122358
221,221,2-STORY 1946 & NEWER,Residential Low-Density,0,8068,Paved,No Alley Access,Slightly Irregular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Gilbert,NormalNormal,Above Average,Average,2002,2002,Gable,Standard (Composite) Shingle,Vinyl SidingVinyl Siding,NA,0,Good,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,UnfinishedUnfinished,1010,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,2267,4,1,Good,8,Typical Functionality,1,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Built-In (Garage part of the house - typically has room above the garage),2002,Rough Finished,2,390,Typical/Average,Typical/Average,Paved,No Fence,Dec,2009,Contract Low Interest,Normal Sale,200000,2.5,166,7,24.789291026276647
222,222,2-STORY 1946 & NEWER,Residential Low-Density,85,11475,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Northwest Ames,Adjacent to North-South RailroadNormal,Above Average,Above Average,1975,1975,Gable,Standard (Composite) Shingle,Vinyl SidingVinyl Siding,NA,0,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Average Living QuartersUnfinished,713,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,1552,3,1,Average/Typical,6,Typical Functionality,1,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,1975,Rough Finished,2,434,Typical/Average,Typical/Average,Paved,Minimum Privacy,Feb,2006,Warranty Deed - Conventional,Normal Sale,179900,3.5,417,31,15.677559912854031
223,223,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,70,10500,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Frontage on 2 sides of the property,Gentle Slope,North Ames,NormalNormal,Below Average,Above Average,1971,1971,Gable,Standard (Composite) Shingle,Hard BoardHard Board,NA,0,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Average Living QuartersLow Quality,864,Gas forced warm air furnace,Good,Yes,Standard Circuit Breakers & Romex,864,2,1,Average/Typical,4,Typical Functionality,0,No Fireplace,Detached from home,1989,Unfinished,2,576,Typical/Average,Typical/Average,Paved,No Fence,Mar,2009,Warranty Deed - Conventional,"Abnormal Sale -  trade, foreclosure, short sale",97000,1.0,216,38,9.238095238095237
224,224,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,103,13472,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Northridge Heights,NormalNormal,Very Excellent,Average,2003,2003,Hip,Standard (Composite) Shingle,Vinyl SidingVinyl Siding,Brick Face,922,Excellent,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,Good Exposure,Good Living QuartersUnfinished,2392,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,2392,3,1,Excellent,8,Typical Functionality,1,Excellent - Exceptional Masonry Fireplace,Attached to the home,2003,Finished,3,968,Typical/Average,Typical/Average,Paved,No Fence,Jun,2009,Warranty Deed - Conventional,Normal Sale,386250,2.0,353,6,28.670576009501186
225,225,2-STORY PUD - 1946 & NEWER,Residential Medium,21,1680,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Briardale,NormalNormal,Average,Average,1971,1971,Gable,Standard (Composite) Shingle,Hard BoardHard Board,Brick Face,142,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,UnfinishedUnfinished,630,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,1302,3,1,Average/Typical,6,Typical Functionality,0,No Fireplace,Detached from home,1991,Unfinished,1,280,Typical/Average,Typical/Average,Paved,No Fence,May,2009,Court Officer Deed/Estate,"Abnormal Sale -  trade, foreclosure, short sale",112000,2.5,0,38,66.66666666666667
226,226,2-STORY 1946 & NEWER,Residential Low-Density,82,9950,Paved,No Alley Access,Slightly Irregular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Northridge,NormalNormal,Good,Average,1995,1995,Gable,Standard (Composite) Shingle,Vinyl SidingVinyl Siding,Brick Face,290,Good,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Good Living QuartersUnfinished,1203,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,2520,4,1,Good,9,Typical Functionality,1,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,1995,Rough Finished,3,721,Typical/Average,Typical/Average,Paved,No Fence,Jun,2007,Warranty Deed - Conventional,"Abnormal Sale -  trade, foreclosure, short sale",290000,2.5,338,12,29.14572864321608
227,227,2-STORY PUD - 1946 & NEWER,Residential Medium,21,1869,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Briardale,NormalNormal,Above Average,Above Average,1970,1970,Gable,Standard (Composite) Shingle,Hard BoardHard Board,Brick Face,127,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Average Rec RoomUnfinished,483,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,987,2,1,Average/Typical,5,Typical Functionality,0,No Fireplace,Detached from home,1987,Unfinished,1,280,Typical/Average,Typical/Average,Paved,No Fence,Sep,2008,Warranty Deed - Conventional,Normal Sale,106000,1.5,0,38,56.71482075976458
228,228,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,70,8521,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Frontage on 2 sides of the property,Gentle Slope,Sawyer,Adjacent to feeder streetNormal,Average,Average,1967,1967,Gable,Standard (Composite) Shingle,Hard BoardHard Board,NA,0,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Average Living QuartersUnfinished,912,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,912,3,1,Average/Typical,5,Typical Functionality,1,Fair - Prefabricated Fireplace in the basement,Detached from home,1974,Unfinished,1,336,Typical/Average,Typical/Average,Paved,Minimum Privacy,May,2010,Warranty Deed - Conventional,Normal Sale,125000,1.0,0,43,14.669639713648634
229,229,1-STORY PUD (Planned Unit Development) - 1946 & NEWER,Residential Low-Density,43,3182,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Bloomington Heights,NormalNormal,Good,Average,2005,2006,Gable,Standard (Composite) Shingle,Vinyl SidingVinyl Siding,Brick Face,16,Good,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,Average Exposure,Good Living QuartersUnfinished,1373,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1555,2,1,Good,7,Typical Functionality,1,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,2005,Finished,2,430,Typical/Average,Typical/Average,Paved,No Fence,May,2009,Warranty Deed - Conventional,Normal Sale,192500,2.0,163,4,60.49654305468259
230,230,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,73,8760,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,North Ames,NormalNormal,Above Average,Above Average,1959,1959,Hip,Standard (Composite) Shingle,Metal SidingMetal Siding,Brick Face,220,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,UnfinishedUnfinished,1194,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,1194,3,1,Average/Typical,6,Typical Functionality,0,No Fireplace,Attached to the home,1959,Rough Finished,1,312,Typical/Average,Typical/Average,Paved,No Fence,Apr,2010,Warranty Deed - Conventional,Normal Sale,148000,2.0,120,51,16.894977168949772
231,231,2-STORY 1946 & NEWER,Residential Low-Density,174,15138,Paved,No Alley Access,Slightly Irregular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Northridge,NormalNormal,Very Good,Average,1995,1996,Gable,Standard (Composite) Shingle,Vinyl SidingVinyl Siding,Brick Face,506,Good,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Good Living QuartersUnfinished,1462,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,2794,4,1,Excellent,9,Typical Functionality,1,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,1995,Finished,3,810,Typical/Average,Typical/Average,Paved,No Fence,Jul,2009,Warranty Deed - Conventional,Normal Sale,403000,3.5,348,14,26.621746597965384
232,232,2-STORY PUD - 1946 & NEWER,Residential Medium,21,1680,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Briardale,NormalNormal,Above Average,Average,1972,1972,Gable,Standard (Composite) Shingle,Hard BoardHard Board,Brick Face,297,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,UnfinishedUnfinished,483,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,987,2,1,Average/Typical,5,Typical Functionality,1,Poor - Ben Franklin Stove,Attached to the home,1972,Unfinished,1,288,Typical/Average,Typical/Average,Paved,No Fence,Jun,2006,Warranty Deed - Conventional,Normal Sale,94500,1.5,0,34,56.25
